date,symbol,open,high,low,close,volume,adjclose,dividends,weekday
2023-03-20,PATI4.SA,44.0,44.0,44.0,44.0,0,41.84341049194336,0.0,0
2023-03-21,PATI4.SA,44.0,44.0,44.0,44.0,0,41.84341049194336,0.0,1
2023-03-22,PATI4.SA,44.0,44.0,44.0,44.0,0,41.84341049194336,0.0,2
2023-03-23,PATI4.SA,44.0,44.0,44.0,44.0,0,41.84341049194336,0.0,3
2023-03-24,PATI4.SA,44.0,44.0,44.0,44.0,0,41.84341049194336,0.0,4
2023-03-27,PATI4.SA,40.0,40.0,40.0,40.0,100,38.039466857910156,0.0,0
2023-03-28,PATI4.SA,39.0,39.0,39.0,39.0,200,37.088478088378906,0.0,1
2023-03-29,PATI4.SA,39.0,39.0,39.0,39.0,0,37.088478088378906,0.0,2
2023-03-30,PATI4.SA,39.0,39.0,39.0,39.0,0,37.088478088378906,0.0,3
2023-03-31,PATI4.SA,39.0,39.0,39.0,39.0,0,37.088478088378906,0.0,4
2023-04-03,PATI4.SA,39.0,39.0,39.0,39.0,0,37.088478088378906,0.0,0
2023-04-04,PATI4.SA,39.0,39.0,39.0,39.0,0,37.088478088378906,0.0,1
2023-04-05,PATI4.SA,39.0,39.0,39.0,39.0,0,37.088478088378906,0.0,2
2023-04-06,PATI4.SA,39.0,39.0,39.0,39.0,0,37.088478088378906,0.0,3
2023-04-10,PATI4.SA,44.459999084472656,44.459999084472656,44.459999084472656,44.459999084472656,200,42.28086471557617,0.0,0
2023-04-11,PATI4.SA,44.459999084472656,44.459999084472656,44.459999084472656,44.459999084472656,200,42.28086471557617,0.0,1
2023-04-12,PATI4.SA,49.9900016784668,49.9900016784668,43.0,43.0,400,40.892425537109375,0.0,2
2023-04-13,PATI4.SA,43.0,43.0,43.0,43.0,0,43.0,2.107574,3
2023-04-14,PATI4.SA,43.0,43.0,43.0,43.0,0,43.0,0.0,4
2023-04-17,PATI4.SA,43.0,43.0,43.0,43.0,0,43.0,0.0,0
2023-04-18,PATI4.SA,43.0,43.0,43.0,43.0,0,43.0,0.0,1
2023-04-19,PATI4.SA,43.0,43.0,43.0,43.0,0,43.0,0.0,2
2023-04-20,PATI4.SA,43.0,43.0,43.0,43.0,0,43.0,0.0,3
2023-04-24,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,200,40.88999938964844,0.0,0
2023-04-25,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,1
2023-04-26,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,2
2023-04-27,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,3
2023-04-28,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,4
2023-05-02,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,1
2023-05-03,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,2
2023-05-04,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,3
2023-05-05,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,4
2023-05-08,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,0
2023-05-09,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,1
2023-05-10,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,2
2023-05-11,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,3
2023-05-12,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,4
2023-05-15,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,0
2023-05-16,PATI4.SA,40.88999938964844,40.88999938964844,40.88999938964844,40.88999938964844,0,40.88999938964844,0.0,1
2023-05-17,PATI4.SA,39.9900016784668,39.9900016784668,37.0,37.0,600,37.0,0.0,2
2023-05-18,PATI4.SA,37.0,37.0,37.0,37.0,0,37.0,0.0,3
2023-05-19,PATI4.SA,37.0,37.0,37.0,37.0,0,37.0,0.0,4
2023-05-22,PATI4.SA,37.0,37.0,37.0,37.0,0,37.0,0.0,0
