symbol,date,open,high,low,close,volume,adjclose,dividends,splits,weekday,yearday
TOTS3.SA,2018-10-25,8.5238037109375,8.610306739807129,8.34747314453125,8.44395637512207,2355266.0,8.11781120300293,0.0,0.0,0.5,0.8181818181818182
TOTS3.SA,2018-10-26,8.5238037109375,8.610306739807129,8.34747314453125,8.44395637512207,2355266.0,8.11781120300293,0.0,0.0,0.5,0.8181818181818182
TOTS3.SA,2018-10-28,8.404031753540039,8.470572471618652,8.11790943145752,8.244335174560547,4740890.0,7.925899505615234,0.0,0.0,1.0,0.8264462809917356
TOTS3.SA,2018-10-29,8.19775676727295,8.577035903930664,8.134544372558594,8.487207412719727,1920642.0,8.159392356872559,0.0,0.0,0.0,0.8292011019283747
TOTS3.SA,2018-10-30,8.37076187133789,8.527131080627441,8.187775611877441,8.350799560546875,2827161.0,8.028251647949219,0.0,0.0,0.16666666666666666,0.8319559228650137
TOTS3.SA,2018-10-31,8.473898887634277,8.949662208557129,8.354126930236816,8.83987045288086,1957011.0,8.498434066772461,0.0,0.0,0.3333333333333333,0.8347107438016529
TOTS3.SA,2018-11-01,8.473898887634277,8.949662208557129,8.354126930236816,8.83987045288086,1957011.0,8.498434066772461,0.0,0.0,0.3333333333333333,0.8347107438016529
TOTS3.SA,2018-11-02,8.473898887634277,8.949662208557129,8.354126930236816,8.83987045288086,1957011.0,8.498434066772461,0.0,0.0,0.3333333333333333,0.8347107438016529
TOTS3.SA,2018-11-04,8.959643363952637,8.959643363952637,8.570382118225098,8.733406066894531,3329714.0,8.396080017089844,0.0,0.0,1.0,0.8457300275482094
TOTS3.SA,2018-11-05,8.6735200881958,8.8631591796875,8.467245101928711,8.553747177124023,2376306.0,8.223359107971191,0.0,0.0,0.0,0.8484848484848485
TOTS3.SA,2018-11-06,8.623615264892578,8.713443756103516,8.307547569274902,8.450610160827637,2109099.0,8.1242094039917,0.0,0.0,0.16666666666666666,0.8512396694214877
TOTS3.SA,2018-11-07,8.593671798706055,8.593671798706055,8.077984809875488,8.184449195861816,1961519.0,7.868326663970947,0.0,0.0,0.3333333333333333,0.8539944903581267
TOTS3.SA,2018-11-08,8.184449195861816,8.364108085632324,8.1644868850708,8.364108085632324,840093.0,8.041045188903809,0.0,0.0,0.5,0.8567493112947658
TOTS3.SA,2018-11-09,8.184449195861816,8.364108085632324,8.1644868850708,8.364108085632324,840093.0,8.041045188903809,0.0,0.0,0.5,0.8567493112947658
TOTS3.SA,2018-11-11,8.274277687072754,8.5038423538208,7.984827995300293,7.984827995300293,1290647.0,7.676415920257568,0.0,0.0,1.0,0.8650137741046832
TOTS3.SA,2018-11-12,8.11790943145752,8.11790943145752,7.83843994140625,7.901652812957764,1100687.0,7.5964531898498535,0.0,0.0,0.0,0.8677685950413223
TOTS3.SA,2018-11-13,8.077984809875488,8.527131080627441,7.998136043548584,8.367435455322266,3364280.0,8.044244766235352,0.0,0.0,0.16666666666666666,0.8705234159779615
TOTS3.SA,2018-11-14,8.077984809875488,8.527131080627441,7.998136043548584,8.367435455322266,3364280.0,8.044244766235352,0.0,0.0,0.16666666666666666,0.8705234159779615
TOTS3.SA,2018-11-15,8.577035903930664,8.61363410949707,8.374089241027832,8.520477294921875,814244.0,8.191375732421875,0.0,0.0,0.5,0.8760330578512396
TOTS3.SA,2018-11-16,8.577035903930664,8.61363410949707,8.374089241027832,8.520477294921875,814244.0,8.191375732421875,0.0,0.0,0.5,0.8760330578512396
TOTS3.SA,2018-11-18,8.58368968963623,8.829889297485352,8.433975219726562,8.666866302490234,2895390.0,8.332111358642578,0.0,0.0,1.0,0.8842975206611571
TOTS3.SA,2018-11-19,8.58368968963623,8.829889297485352,8.433975219726562,8.666866302490234,2895390.0,8.332111358642578,0.0,0.0,1.0,0.8842975206611571
TOTS3.SA,2018-11-20,8.67019271850586,8.776657104492188,8.460591316223145,8.563728332519531,3889976.0,8.232956886291504,0.0,0.0,0.16666666666666666,0.8898071625344353
TOTS3.SA,2018-11-21,8.640250205993652,8.809926986694336,8.58368968963623,8.683501243591309,942587.0,8.348104476928711,0.0,0.0,0.3333333333333333,0.8925619834710744
TOTS3.SA,2018-11-22,8.71011734008789,8.76667594909668,8.570382118225098,8.616960525512695,726177.0,8.284132957458496,0.0,0.0,0.5,0.8953168044077136
TOTS3.SA,2018-11-23,8.71011734008789,8.76667594909668,8.570382118225098,8.616960525512695,726177.0,8.284132957458496,0.0,0.0,0.5,0.8953168044077136
TOTS3.SA,2018-11-25,8.783310890197754,9.315632820129395,8.783310890197754,9.302325248718262,6623661.0,8.943025588989258,0.0,0.0,1.0,0.9035812672176309
TOTS3.SA,2018-11-26,9.308979034423828,9.415443420410156,9.159263610839844,9.348902702331543,2741799.0,8.98780345916748,0.0,0.0,0.0,0.90633608815427
TOTS3.SA,2018-11-27,9.442060470581055,9.714875221252441,9.305651664733887,9.714875221252441,2991873.0,9.339640617370605,0.0,0.0,0.16666666666666666,0.9090909090909091
TOTS3.SA,2018-11-28,9.648333549499512,9.934456825256348,9.615063667297363,9.74814510345459,3185140.0,9.371624946594238,0.0,0.0,0.3333333333333333,0.9118457300275482
TOTS3.SA,2018-11-29,9.74814510345459,9.74814510345459,9.521907806396484,9.648333549499512,1364587.0,9.275670051574707,0.0,0.0,0.5,0.9146005509641874
TOTS3.SA,2018-11-30,9.74814510345459,9.74814510345459,9.521907806396484,9.648333549499512,1364587.0,9.275670051574707,0.0,0.0,0.5,0.9146005509641874
TOTS3.SA,2018-12-02,9.628372192382812,10.007652282714844,9.628372192382812,9.927803039550781,2783578.0,9.544344902038574,0.0,0.0,1.0,0.9228650137741047
TOTS3.SA,2018-12-03,9.891205787658691,10.127424240112305,9.645007133483887,9.74814510345459,2467980.0,9.371624946594238,0.0,0.0,0.0,0.9256198347107438
TOTS3.SA,2018-12-04,9.7115478515625,9.837973594665527,9.571812629699707,9.69491195678711,1351963.0,9.32044792175293,0.0,0.0,0.16666666666666666,0.928374655647383
TOTS3.SA,2018-12-05,9.648333549499512,9.77143383026123,9.615063667297363,9.648333549499512,1516976.0,9.275670051574707,0.0,0.0,0.3333333333333333,0.931129476584022
TOTS3.SA,2018-12-06,9.671623229980469,9.73483657836914,9.558505058288574,9.648333549499512,858127.0,9.275670051574707,0.0,0.0,0.5,0.9338842975206612
TOTS3.SA,2018-12-07,9.671623229980469,9.73483657836914,9.558505058288574,9.648333549499512,858127.0,9.275670051574707,0.0,0.0,0.5,0.9338842975206612
TOTS3.SA,2018-12-09,9.648333549499512,9.728182792663574,9.448714256286621,9.448714256286621,1151483.0,9.083760261535645,0.0,0.0,1.0,0.9421487603305785
TOTS3.SA,2018-12-10,9.472002983093262,9.591774940490723,9.17922592163086,9.382172584533691,1741803.0,9.019787788391113,0.0,0.0,0.0,0.9449035812672176
