,symbol,date,open,high,low,close,volume,adjclose,weekday,dividends,splits
152,VSPT3.SA,2023-02-01,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
153,VSPT3.SA,2023-02-02,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
154,VSPT3.SA,2023-02-03,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
155,VSPT3.SA,2023-02-06,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
156,VSPT3.SA,2023-02-07,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
157,VSPT3.SA,2023-02-08,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
158,VSPT3.SA,2023-02-09,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
159,VSPT3.SA,2023-02-10,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
160,VSPT3.SA,2023-02-13,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
161,VSPT3.SA,2023-02-14,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
162,VSPT3.SA,2023-02-15,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
163,VSPT3.SA,2023-02-16,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
164,VSPT3.SA,2023-02-17,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
165,VSPT3.SA,2023-02-22,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
166,VSPT3.SA,2023-02-23,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
167,VSPT3.SA,2023-02-24,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
168,VSPT3.SA,2023-02-27,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
169,VSPT3.SA,2023-02-28,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
170,VSPT3.SA,2023-03-01,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
171,VSPT3.SA,2023-03-02,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
172,VSPT3.SA,2023-03-03,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
173,VSPT3.SA,2023-03-06,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
174,VSPT3.SA,2023-03-07,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
175,VSPT3.SA,2023-03-08,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
176,VSPT3.SA,2023-03-09,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
177,VSPT3.SA,2023-03-13,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
178,VSPT3.SA,2023-03-14,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
179,VSPT3.SA,2023-03-15,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
180,VSPT3.SA,2023-03-16,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
181,VSPT3.SA,2023-03-17,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
182,VSPT3.SA,2023-03-20,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
183,VSPT3.SA,2023-03-21,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
184,VSPT3.SA,2023-03-22,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
185,VSPT3.SA,2023-03-23,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
186,VSPT3.SA,2023-03-24,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
187,VSPT3.SA,2023-03-27,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
188,VSPT3.SA,2023-03-28,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
189,VSPT3.SA,2023-03-29,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
190,VSPT3.SA,2023-03-30,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
191,VSPT3.SA,2023-03-31,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
192,VSPT3.SA,2023-04-03,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
193,VSPT3.SA,2023-04-04,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
194,VSPT3.SA,2023-04-05,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
195,VSPT3.SA,2023-04-06,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
196,VSPT3.SA,2023-04-10,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
197,VSPT3.SA,2023-04-11,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
198,VSPT3.SA,2023-04-12,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
199,VSPT3.SA,2023-04-13,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
200,VSPT3.SA,2023-04-14,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
201,VSPT3.SA,2023-04-17,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
202,VSPT3.SA,2023-04-18,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
203,VSPT3.SA,2023-04-19,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
204,VSPT3.SA,2023-04-20,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
205,VSPT3.SA,2023-04-24,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
206,VSPT3.SA,2023-04-25,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
207,VSPT3.SA,2023-04-26,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
208,VSPT3.SA,2023-04-27,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
209,VSPT3.SA,2023-04-28,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
210,VSPT3.SA,2023-05-02,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
211,VSPT3.SA,2023-05-03,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
212,VSPT3.SA,2023-05-04,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
213,VSPT3.SA,2023-05-05,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
214,VSPT3.SA,2023-05-08,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
215,VSPT3.SA,2023-05-09,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
216,VSPT3.SA,2023-05-10,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
217,VSPT3.SA,2023-05-11,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
218,VSPT3.SA,2023-05-12,1.5,1.5,1.5,1.5,0.0,1.5,4,0,0
219,VSPT3.SA,2023-05-15,1.5,1.5,1.5,1.5,0.0,1.5,0,0,0
220,VSPT3.SA,2023-05-16,1.5,1.5,1.5,1.5,0.0,1.5,1,0,0
221,VSPT3.SA,2023-05-17,1.5,1.5,1.5,1.5,0.0,1.5,2,0,0
222,VSPT3.SA,2023-05-18,1.5,1.5,1.5,1.5,0.0,1.5,3,0,0
