date,symbol,open,high,low,close,volume,adjclose,weekday
2023-02-08,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,2
2023-02-09,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,3
2023-02-10,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,4
2023-02-13,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,0
2023-02-14,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,1
2023-02-15,FRIO3.SA,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,0.0,25.299999237060547,2
2023-02-16,FRIO3.SA,24.299999237060547,24.299999237060547,24.299999237060547,24.299999237060547,600.0,24.299999237060547,3
2023-02-17,FRIO3.SA,24.299999237060547,24.299999237060547,24.299999237060547,24.299999237060547,0.0,24.299999237060547,4
2023-02-22,FRIO3.SA,24.299999237060547,24.299999237060547,24.299999237060547,24.299999237060547,0.0,24.299999237060547,2
2023-02-23,FRIO3.SA,24.299999237060547,24.299999237060547,24.299999237060547,24.299999237060547,0.0,24.299999237060547,3
2023-02-24,FRIO3.SA,24.0,24.0,24.0,24.0,100.0,24.0,4
2023-02-27,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,0
2023-02-28,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,1
2023-03-01,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,2
2023-03-02,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,3
2023-03-03,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,4
2023-03-06,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,0
2023-03-07,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,1
2023-03-08,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,2
2023-03-09,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,3
2023-03-13,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,0
2023-03-14,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,1
2023-03-15,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,2
2023-03-16,FRIO3.SA,24.0,24.0,24.0,24.0,0.0,24.0,3
2023-03-17,FRIO3.SA,23.5,23.5,23.5,23.5,100.0,23.5,4
2023-03-20,FRIO3.SA,23.5,23.5,23.5,23.5,0.0,23.5,0
2023-03-21,FRIO3.SA,23.5,23.5,23.5,23.5,0.0,23.5,1
2023-03-22,FRIO3.SA,23.5,23.5,23.5,23.5,0.0,23.5,2
2023-03-23,FRIO3.SA,23.5,23.5,23.5,23.5,0.0,23.5,3
2023-03-24,FRIO3.SA,20.0,20.0,20.0,20.0,100.0,20.0,4
2023-03-27,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,0
2023-03-28,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,1
2023-03-29,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,2
2023-03-30,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,3
2023-03-31,FRIO3.SA,20.0,20.0,20.0,20.0,300.0,20.0,4
2023-04-03,FRIO3.SA,20.0,20.0,20.0,20.0,600.0,20.0,0
2023-04-04,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,1
2023-04-05,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,2
2023-04-06,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,3
2023-04-10,FRIO3.SA,20.0,20.0,20.0,20.0,1200.0,20.0,0
2023-04-11,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,1
2023-04-12,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,2
2023-04-13,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,3
2023-04-14,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,4
2023-04-17,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,0
2023-04-18,FRIO3.SA,20.0,20.0,20.0,20.0,0.0,20.0,1
2023-04-19,FRIO3.SA,21.0,21.0,21.0,21.0,500.0,21.0,2
2023-04-20,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,3
2023-04-24,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,0
2023-04-25,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,1
2023-04-26,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,2
2023-04-27,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,3
2023-04-28,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,4
2023-05-02,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,1
2023-05-03,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,2
2023-05-04,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,3
2023-05-05,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,4
2023-05-08,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,0
2023-05-09,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,1
2023-05-10,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,2
2023-05-11,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,3
2023-05-12,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,4
2023-05-15,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,0
2023-05-16,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,1
2023-05-17,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,2
2023-05-18,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,3
2023-05-19,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,4
2023-05-22,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,0
2023-05-23,FRIO3.SA,21.0,21.0,21.0,21.0,0.0,21.0,1
2023-05-24,FRIO3.SA,23.010000228881836,23.010000228881836,23.010000228881836,23.010000228881836,100.0,23.010000228881836,2
2023-05-25,FRIO3.SA,23.010000228881836,23.010000228881836,23.010000228881836,23.010000228881836,0.0,23.010000228881836,3
2023-05-26,FRIO3.SA,23.010000228881836,23.010000228881836,23.010000228881836,23.010000228881836,400.0,23.010000228881836,4
2023-05-29,FRIO3.SA,23.010000228881836,23.010000228881836,23.010000228881836,23.010000228881836,0.0,23.010000228881836,0
2023-05-30,FRIO3.SA,23.010000228881836,23.010000228881836,23.010000228881836,23.010000228881836,0.0,23.010000228881836,1
2023-05-31,FRIO3.SA,23.010000228881836,23.010000228881836,23.010000228881836,23.010000228881836,0.0,23.010000228881836,2
2023-06-01,FRIO3.SA,23.010000228881836,23.010000228881836,23.010000228881836,23.010000228881836,0.0,23.010000228881836,3
2023-06-02,FRIO3.SA,22.209999084472656,22.209999084472656,22.209999084472656,22.209999084472656,100.0,22.209999084472656,4
2023-06-05,FRIO3.SA,22.209999084472656,22.209999084472656,22.209999084472656,22.209999084472656,0.0,22.209999084472656,0
2023-06-06,FRIO3.SA,22.209999084472656,22.209999084472656,22.209999084472656,22.209999084472656,0.0,22.209999084472656,1
2023-06-07,FRIO3.SA,22.209999084472656,22.209999084472656,22.209999084472656,22.209999084472656,0.0,22.209999084472656,2
2023-06-09,FRIO3.SA,22.209999084472656,22.209999084472656,22.209999084472656,22.209999084472656,0.0,22.209999084472656,4
2023-06-12,FRIO3.SA,22.209999084472656,22.209999084472656,22.209999084472656,22.209999084472656,0.0,22.209999084472656,0
2023-06-13,FRIO3.SA,22.209999084472656,22.209999084472656,22.209999084472656,22.209999084472656,0.0,22.209999084472656,1
2023-06-14,FRIO3.SA,22.209999084472656,22.209999084472656,22.209999084472656,22.209999084472656,0.0,22.209999084472656,2
2023-06-15,FRIO3.SA,22.209999084472656,22.209999084472656,22.209999084472656,22.209999084472656,0.0,22.209999084472656,3
